,InvoiceDate,StockCode,Quantity,TotalPrice,Week,Weekday,Day,UnitPrice,Revenue,ProductCategory
0,13-05-2023 09:23,1440,15,195,19,Saturday,13,13,210.064544,Home & Garden
1,28-06-2021 01:16,1970,89,8455,26,Monday,28,95,8057.566635,Home & Garden
2,24-11-2020 12:41,8326,74,1850,47,Tuesday,24,25,1804.696607,Books
3,28-01-2020 12:53,9696,20,1340,4,Tuesday,28,67,1443.917694,Toys
4,10-07-2020 14:11,8638,71,1704,27,Friday,10,24,1607.955406,Electronics
5,30-03-2021 05:57,2894,81,972,13,Tuesday,30,12,952.7859821,Jewelry
6,22-03-2023 00:47,5392,54,864,12,Wednesday,22,16,847.2119869,Health & Beauty
7,28-04-2023 18:36,2568,11,572,17,Friday,28,52,612.3311718,Electronics
8,19-06-2022 21:58,4357,73,4891,25,Sunday,19,67,4564.715135,Electronics
9,04-02-2020 13:47,6337,62,6076,5,Tuesday,4,98,6202.734562,Toys
10,09-07-2022 06:08,2421,24,2376,27,Saturday,9,99,2139.280356,Books
11,12-05-2023 19:12,9991,48,1008,19,Friday,12,21,1031.443768,Toys
12,15-10-2023 13:12,3379,89,4628,42,Sunday,15,52,4599.207531,Sports
13,11-12-2022 13:46,9073,24,792,50,Sunday,11,33,751.2930998,Electronics
14,03-09-2020 22:25,1520,74,5476,35,Thursday,3,74,5064.430729,Books
15,04-09-2020 23:25,8889,75,300,35,Friday,4,4,281.5695756,Food
16,07-09-2022 00:39,2178,51,2040,36,Wednesday,7,40,1886.723787,Food
17,23-12-2020 22:06,2792,82,7544,51,Wednesday,23,92,7879.843392,Clothing
18,25-12-2022 15:18,4598,98,5586,52,Sunday,25,57,6127.098678,Jewelry
19,16-06-2022 06:31,3509,57,3933,24,Thursday,16,69,4209.750766,Books
20,28-02-2020 03:43,9118,48,3264,8,Friday,28,68,3061.271628,Home & Garden
21,05-03-2023 09:11,4994,56,1904,10,Sunday,5,34,2008.664727,Food
22,22-09-2023 03:42,4392,94,7708,38,Friday,22,82,8130.236684,Health & Beauty
23,09-12-2020 21:36,6037,77,2464,49,Wednesday,9,32,2581.63239,Food
24,13-04-2022 10:31,4875,17,1122,15,Wednesday,13,66,1084.017231,Clothing
25,15-05-2020 23:35,3022,77,3927,19,Friday,15,51,4088.547713,Food
26,11-05-2021 12:56,9841,3,216,19,Tuesday,11,72,209.8211754,Sports
27,27-10-2020 15:50,7024,49,147,43,Tuesday,27,3,146.7870269,Home & Garden
28,18-09-2021 00:06,9132,44,616,37,Saturday,18,14,677.3236547,Books
29,29-01-2022 12:16,9303,53,4293,4,Saturday,29,81,4516.724084,Books
30,02-06-2020 19:03,2625,14,924,22,Tuesday,2,66,852.5612418,Food
31,24-01-2022 09:41,4317,16,896,4,Monday,24,56,826.9777684,Toys
32,04-08-2020 11:37,7363,57,5301,31,Tuesday,4,93,5487.939782,Books
33,08-09-2020 11:27,8144,38,2052,36,Tuesday,8,54,1882.866261,Electronics
34,11-01-2023 16:27,2647,26,1794,2,Wednesday,11,69,1958.256742,Health & Beauty
35,11-08-2020 17:41,7736,27,2511,32,Tuesday,11,93,2755.606324,Books
36,09-04-2021 20:03,2947,57,171,14,Friday,9,3,167.6251523,Electronics
37,19-07-2020 03:21,2016,14,196,29,Sunday,19,14,183.5367324,Toys
38,08-06-2020 06:50,7694,23,1426,23,Monday,8,62,1326.55265,Toys
39,24-07-2020 17:43,2082,57,741,29,Friday,24,13,749.738105,Jewelry
40,25-08-2023 14:04,7073,46,1794,34,Friday,25,39,1674.964848,Toys
41,18-03-2022 15:24,6331,12,1008,11,Friday,18,84,1107.144582,Home & Garden
42,15-12-2022 00:30,7557,75,5700,50,Thursday,15,76,5765.813529,Health & Beauty
43,19-05-2023 14:10,9868,67,5025,20,Friday,19,75,5350.945124,Health & Beauty
44,23-01-2022 20:27,6792,66,5214,4,Sunday,23,79,5413.209147,Jewelry
45,15-06-2020 04:44,6932,48,1200,24,Monday,15,25,1140.388212,Toys
